iter	RMSE
166	42511.50641
167	42469.62487
168	42436.77337
169	42382.12629
170	42324.57901
171	42247.55627
172	42216.82351
173	42169.10352
174	42141.07642
175	42098.51002
176	42062.25797
177	42025.44266
178	41977.69023
179	41917.91612
180	41873.4139
181	41830.30023
182	41792.2826
183	41724.59987
184	41686.33127
185	41642.647
186	41615.2512
187	41589.07124
188	41541.58918
189	41517.3557
190	41479.03648
191	41438.54337
192	41383.77201
193	41323.10956
194	41264.16844
195	41215.97555
196	41168.42051
197	41095.51072
198	41022.58029
199	40971.5798
200	40919.24625
201	40877.29488
202	40825.58681
203	40760.61382
204	40721.34299
205	40683.29447
206	40631.10279
207	40595.19596
208	40545.58853
209	40510.59175
210	40474.02295
211	40439.70241
212	40383.28301
213	40344.2137
214	40303.99604
215	40266.60083
216	40226.2707
217	40191.42096
218	40164.26282
219	40128.1063
220	40069.02851
221	40021.85578
222	39960.86354
223	39912.82302
224	39868.44066
225	39826.89451
226	39789.29649
227	39745.51424
228	39706.85728
229	39654.27295
230	39608.03073
231	39563.66704
232	39532.6611
233	39472.16309
234	39430.06413
235	39396.90344
236	39372.0954
237	39326.865
238	39289.95231
239	39252.17236
240	39224.02315
241	39190.91112
242	39154.05272
243	39106.00594
244	39069.8026
245	39030.73457
246	38987.00994
247	38955.19215
248	38907.32149
249	38880.81974
250	38848.641
251	38816.53532
252	38786.38438
253	38757.82541
254	38735.27991
255	38703.1758
256	38672.52553
257	38648.74254
258	38609.91326
259	38574.30447
260	38546.35551
261	38505.08119
262	38467.6797
263	38419.72099
264	38392.04512
265	38356.63953
266	38312.22294
267	38274.70797
268	38252.33446
269	38215.57672
270	38184.44134
271	38159.93303
272	38088.09975
273	38060.96137
274	38038.53945
275	38009.46367
276	37989.76303
277	37951.93081
278	37931.23943
279	37897.73279
280	37869.9704
281	37830.6979
282	37792.99198
283	37753.2336
284	37734.56273
285	37694.16374
286	37655.84685
287	37604.36023
288	37572.86239
289	37537.29239
290	37512.00442
291	37477.22644
292	37441.64335
293	37423.51918
294	37375.26174
295	37344.19355
296	37323.03764
297	37300.02086
298	37272.28888
299	37252.80005
300	37219.63237
301	37189.958
302	37161.2165
303	37129.4144
304	37091.12818
305	37058.10391
306	37035.93636
307	37001.07133
308	36967.33482
309	36938.17687
310	36906.29223
311	36859.96308
312	36818.22702
313	36802.75634
314	36774.20862
315	36750.17752
316	36725.97021
317	36681.94821
318	36662.39696
319	36634.62301
320	36614.13957
321	36584.64205
322	36548.72393
323	36514.38622
324	36481.07086
325	36431.17222
326	36407.70831
327	36379.51409
328	36353.60936
329	36325.25758
330	36309.56597
331	36279.78853
332	36251.02748
333	36222.81384
334	36197.8878
335	36165.27315
336	36128.21042
337	36091.73412
338	36070.04617
339	36042.41592
340	36019.32082
341	36000.48192
342	35970.08673
343	35938.66858
344	35900.7821
345	35872.80022
346	35855.72095
347	35815.63064
348	35772.61688
349	35746.96894
350	35715.26314
351	35701.61429
352	35680.80734
353	35645.23243
354	35621.73071
355	35599.54307
356	35579.87577
357	35554.55049
358	35527.65251
359	35498.86449
360	35471.4261
361	35441.45526
362	35417.67967
363	35399.91725
364	35363.56447
365	35341.18531
366	35305.22682
367	35286.22076
368	35258.87325
369	35239.00027
370	35216.43058
371	35186.31953
372	35172.17936
373	35150.95264
374	35130.71665
375	35105.5664
376	35081.82586
377	35048.09967
378	35024.80269
379	34990.88319
380	34963.79826
381	34934.87636
382	34905.65494
383	34883.4381
384	34864.72482
385	34844.25505
386	34826.67215
387	34798.54052
388	34771.22705
389	34736.68093
390	34708.66689
391	34685.66691
392	34669.03796
393	34642.77122
394	34606.7934
395	34587.73767
396	34569.69027
397	34549.88705
398	34525.79659
399	34501.00909
400	34481.31987
401	34451.20458
402	34435.04105
403	34408.63927
404	34381.17749
405	34367.36868
406	34346.68286
407	34327.61308
408	34311.87508
409	34283.71383
410	34262.91315
411	34248.3542
412	34232.05024
413	34220.0106
414	34196.58488
415	34176.01962
416	34150.17052
417	34121.34289
418	34097.52243
419	34080.97932
420	34048.4114
421	34018.32638
422	33995.42603
423	33960.46419
424	33941.82394
425	33928.8323
426	33904.69112
427	33882.30723
428	33854.59902
429	33827.86824
430	33811.90897
431	33794.44381
432	33768.99271
433	33750.59299
434	33725.69199
435	33713.32022
436	33702.45269
437	33688.17461
438	33659.88552
439	33643.99709
440	33621.19291
441	33600.66499
442	33578.29129
443	33562.10074
444	33545.7351
445	33525.50259
446	33504.52334
447	33473.86129
448	33454.56621
449	33431.23607
450	33415.73773
451	33400.27192
452	33380.15508
453	33363.6598
454	33339.94802
455	33323.8869
456	33311.84591
457	33290.07843
458	33263.23648
459	33246.76248
460	33221.08202
461	33201.17156
462	33153.91667
463	33132.36505
464	33106.41004
465	33091.04244
466	33073.58337
467	33059.22982
468	33042.15742
469	33027.12927
470	33007.65125
471	32990.15431
472	32976.40503
473	32964.26025
474	32942.64499
475	32924.03653
476	32904.93676
477	32886.72828
478	32846.10201
479	32826.2406
480	32801.4008
481	32779.30867
482	32762.79289
483	32744.18794
484	32723.98769
485	32699.52625
486	32679.08358
487	32662.67914
488	32637.7817
489	32612.06873
490	32598.66655
491	32570.07754
492	32544.39592
493	32532.36793
494	32506.85182
495	32493.20792
496	32474.04257
497	32462.74415
498	32419.08534
499	32398.01834
500	32375.45827
501	32352.58048
502	32337.2621
503	32323.51131
504	32304.40653
505	32280.79083
506	32260.21112
507	32242.65646
508	32218.96773
509	32210.17177
510	32193.45446
511	32167.33185
512	32153.49682
513	32137.11481
514	32122.35973
515	32111.63838
516	32100.0988
517	32080.23885
518	32060.19361
519	32040.06298
520	32020.18114
521	31995.22596
522	31980.52222
523	31963.50235
524	31944.96797
525	31910.17692
526	31895.24575
527	31877.07031
528	31856.96446
529	31836.65745
530	31816.32242
531	31805.07567
532	31782.92808
533	31767.14333
534	31753.66323
535	31733.21983
536	31716.87856
537	31701.24026
538	31686.31122
539	31674.59062
540	31658.85116
541	31634.8854
542	31615.41726
543	31600.74945
544	31584.38537
545	31567.83662
546	31554.43445
547	31535.39737
548	31518.70616
549	31501.99785
550	31485.37084
551	31465.40949
552	31449.83285
553	31432.56253
554	31418.13543
555	31405.95369
556	31377.38657
557	31357.95794
558	31342.62028
559	31326.26667
560	31304.66638
561	31290.64607
562	31273.82798
563	31257.09531
564	31230.9324
565	31219.1759
566	31204.51248
567	31185.2422
568	31167.28623
569	31156.12056
570	31141.90143
571	31130.77027
572	31121.0814
573	31096.87626
574	31085.85957
575	31068.25259
576	31048.51387
577	31034.9922
578	31020.329
579	31001.26476
580	30987.69214
581	30976.33169
582	30960.14862
583	30930.94114
584	30907.52411
585	30893.7462
586	30880.35255
587	30865.52903
588	30852.53964
589	30842.48046
590	30826.41847
591	30797.23696
592	30779.65833
593	30760.35928
594	30748.47712
595	30730.36171
596	30717.96948
597	30697.28376
598	30673.95358
599	30657.24063
600	30644.68356
601	30629.44208
602	30610.15679
603	30593.65212
604	30578.19396
605	30561.19386
606	30539.9251
607	30530.2229
608	30519.10773
609	30506.27505
610	30491.77448
611	30478.90028
612	30469.39697
613	30454.91459
614	30433.59634
615	30414.1199
616	30394.49928
617	30378.32075
618	30360.95086
619	30336.71438
620	30319.84022
621	30303.68903
622	30296.3111
623	30287.66034
624	30271.20736
625	30248.94753
626	30236.21471
627	30223.45717
628	30206.67562
629	30194.57231
630	30163.55199
631	30146.98458
632	30123.24937
633	30092.08809
634	30076.91645
635	30060.59539
636	30036.48123
637	30022.16283
638	30007.74843
639	29990.21894
640	29969.4079
641	29954.62441
642	29937.79834
643	29920.67974
644	29899.8095
645	29885.20435
646	29869.36163
647	29850.97088
648	29838.2511
649	29814.92037
650	29803.79146
651	29790.29997
652	29770.78775
653	29758.15864
654	29740.72239
655	29730.69749
656	29716.79103
657	29709.01456
658	29693.27667
659	29686.82199
660	29674.34828
661	29659.23834
662	29641.33896
663	29629.36428
664	29615.43125
665	29604.50574
666	29587.81365
667	29576.3187
668	29555.24719
669	29543.66216
670	29523.58929
671	29506.75104
672	29495.76728
673	29481.9842
674	29470.03313
675	29452.78537
676	29431.53472
677	29409.64474
678	29392.68076
679	29376.43767
680	29368.11297
681	29354.83493
682	29333.23676
683	29323.82049
684	29308.09586
685	29288.86068
686	29277.08605
687	29262.34357
688	29243.34026
689	29226.4489
690	29213.26864
691	29203.57643
692	29190.46692
693	29178.03232
694	29168.36852
695	29150.82785
696	29134.55698
697	29119.95268
698	29108.04239
699	29097.48849
700	29087.13311
701	29066.66752
702	29054.27163
703	29029.66485
704	29012.55028
705	28996.49213
706	28975.35113
707	28967.49478
708	28955.02742
709	28936.80986
710	28925.4601
711	28911.76618
712	28904.6244
713	28882.60278
714	28864.46875
715	28846.75478
716	28830.2858
717	28814.32379
718	28807.90201
719	28798.59739
720	28785.74345
721	28773.99772
722	28764.41871
723	28742.04564
724	28726.58127
725	28709.20835
726	28696.49135
727	28677.40538
728	28672.71035
729	28666.42364
730	28642.09005
731	28621.65273
732	28602.92151
733	28588.44876
734	28574.76627
735	28562.93648
736	28550.18677
737	28532.80942
738	28521.74948
739	28502.01797
740	28484.87478
741	28474.67456
742	28462.45092
743	28441.29208
744	28422.36123
745	28406.34945
746	28394.75318
747	28376.31382
748	28368.04073
749	28357.87279
750	28343.55463
751	28331.7354
752	28316.55516
753	28300.1919
754	28283.38874
755	28269.41274
756	28254.71833
757	28237.08499
758	28224.1184
759	28211.71819
760	28197.97777
761	28182.82268
762	28167.16315
763	28162.20441
764	28145.80683
765	28133.11512
766	28122.30729
767	28108.46677
768	28100.88475
769	28093.23839
770	28079.47632
771	28069.77185
772	28060.86588
773	28053.22532
774	28039.96259
775	28023.59569
776	28014.23835
777	27996.00741
778	27984.52596
779	27966.44249
780	27951.54359
781	27935.13496
782	27925.28742
783	27915.57861
784	27905.36886
785	27891.62297
786	27880.20914
787	27870.93441
788	27857.75183
789	27844.56298
790	27833.21692
791	27816.90935
792	27808.70706
793	27795.6583
794	27790.18846
795	27770.60813
796	27762.35063
797	27752.10985
798	27735.56021
799	27721.55182
800	27706.10008
801	27691.14889
802	27684.64249
803	27671.6748
804	27657.6253
805	27640.65616
806	27632.63779
807	27614.65134
808	27602.77776
809	27587.34089
810	27575.80187
811	27565.02627
812	27550.23513
813	27537.54085
814	27530.91968
815	27516.02728
816	27497.17133
817	27485.6881
818	27464.1701
819	27450.55459
820	27437.94799
821	27413.23201
822	27405.99213
823	27391.60231
824	27381.32248
825	27360.8156
826	27347.66953
827	27335.70621
828	27319.62917
829	27309.1715
830	27297.48313
831	27285.95709
832	27269.11479
833	27255.3314
834	27245.43753
835	27230.27485
836	27222.41346
837	27208.17788
838	27197.21306
839	27179.53192
840	27163.8307
841	27156.46979
842	27142.90578
843	27134.09367
844	27117.68117
845	27106.00137
846	27094.70365
847	27084.86059
848	27074.9724
849	27060.73432
850	27043.24308
851	27030.93085
852	27017.01269
853	27008.27716
854	26999.065
855	26990.00877
856	26980.49651
857	26970.69161
858	26956.97965
859	26941.18079
860	26928.79101
861	26918.83808
862	26908.03679
863	26894.91517
864	26889.37688
865	26873.41482
866	26864.35853
867	26857.48016
868	26840.6257
869	26832.42271
870	26821.72772
871	26809.16957
872	26804.63981
873	26794.77915
874	26784.73044
875	26769.28568
876	26760.20616
877	26755.10831
878	26744.36891
879	26734.60336
880	26724.08173
881	26711.49464
882	26695.87409
883	26689.54901
884	26675.47982
885	26665.89185
886	26650.64144
887	26641.56398
888	26635.07192
889	26618.11905
890	26606.76007
891	26596.48657
892	26585.07919
893	26576.85513
894	26557.33385
895	26542.81659
896	26527.18689
897	26522.22094
898	26510.46136
899	26500.91243
900	26486.75244
901	26474.90151
902	26463.81949
903	26453.47555
904	26438.17332
905	26420.80629
906	26407.48044
907	26396.99709
908	26391.76679
909	26380.42041
910	26369.46991
911	26345.97438
912	26334.32235
913	26326.25148
914	26314.81489
915	26303.20772
916	26289.45189
917	26282.183
918	26270.5383
919	26259.68096
920	26248.56154
921	26236.99247
922	26223.84314
923	26209.82385
924	26198.61337
925	26188.7067
926	26172.41751
927	26164.43947
928	26150.81138
929	26136.8674
930	26117.47598
931	26105.23054
932	26088.60576
933	26073.06253
934	26058.6617
935	26048.84219
936	26035.18361
937	26023.93676
938	26016.59744
939	26004.75726
940	25999.47771
941	25988.99119
942	25976.31876
943	25968.57447
944	25962.08843
945	25953.43168
946	25939.79719
947	25933.09495
948	25924.04218
949	25910.85243
950	25902.53124
951	25885.32781
952	25878.18336
953	25865.23513
954	25858.24599
955	25844.80821
956	25836.66114
957	25825.99867
958	25818.48258
959	25805.26792
960	25797.16731
961	25789.06752
962	25772.02751
963	25751.82913
964	25740.87285
965	25730.52116
966	25721.92366
967	25709.31558
968	25693.7504
969	25683.20586
970	25670.37575
971	25659.20711
972	25648.2484
973	25641.12431
974	25632.49611
975	25625.9161
976	25613.02077
977	25603.90777
978	25591.72874
979	25567.55496
980	25561.25828
981	25555.6412
982	25546.41916
983	25540.24609
984	25528.0193
985	25517.77963
986	25504.7693
987	25487.70327
988	25476.29949
989	25470.43316
990	25464.12731
991	25449.55494
992	25441.50028
993	25433.47039
994	25421.2352
995	25413.67278
996	25405.5428
997	25395.95518
998	25381.57216
999	25369.88716
