iter	Passed	Remaining
407	5335	7741
408	5348	7729
409	5360	7713
410	5373	7700
411	5386	7687
412	5397	7670
413	5406	7653
414	5419	7640
415	5430	7623
416	5445	7613
417	5459	7601
418	5471	7587
419	5483	7573
420	5500	7564
421	5512	7550
422	5524	7535
423	5536	7520
424	5549	7508
425	5564	7497
426	5574	7480
427	5588	7468
428	5599	7452
429	5611	7438
430	5620	7420
431	5628	7401
432	5640	7386
433	5653	7372
434	5662	7354
435	5676	7342
436	5686	7325
437	5700	7314
438	5712	7299
439	5725	7287
440	5736	7271
441	5746	7254
442	5757	7238
443	5769	7224
444	5779	7208
445	5790	7192
446	5816	7195
447	5833	7187
448	5845	7173
449	5856	7157
450	5867	7142
451	5877	7125
452	5889	7111
453	5900	7095
454	5910	7079
455	5920	7063
456	5933	7050
457	5946	7036
458	5957	7021
459	5969	7007
460	5980	6992
461	5991	6977
462	6002	6961
463	6012	6945
464	6023	6929
465	6035	6916
466	6047	6902
467	6058	6886
468	6068	6870
469	6078	6854
470	6098	6849
471	6113	6838
472	6128	6827
473	6139	6812
474	6151	6799
475	6181	6804
476	6195	6793
477	6207	6778
478	6219	6765
479	6230	6749
480	6244	6738
481	6256	6723
482	6267	6708
483	6280	6696
484	6307	6697
485	6323	6687
486	6336	6674
487	6346	6658
488	6371	6658
489	6385	6646
490	6409	6644
491	6424	6633
492	6437	6619
493	6447	6603
494	6458	6588
495	6469	6574
496	6479	6557
497	6490	6542
498	6503	6529
499	6518	6518
500	6530	6504
501	6542	6490
502	6556	6478
503	6567	6462
504	6576	6446
505	6587	6431
506	6598	6416
507	6611	6403
508	6623	6389
509	6635	6375
510	6646	6360
511	6658	6346
512	6671	6333
513	6684	6320
514	6697	6306
515	6710	6294
516	6721	6279
517	6733	6265
518	6747	6253
519	6758	6238
520	6768	6223
521	6785	6213
522	6796	6198
523	6809	6185
524	6821	6172
525	6837	6161
526	6850	6148
527	6861	6134
528	6875	6121
529	6887	6107
530	6903	6097
531	6917	6085
532	6930	6071
